Estado - Sigla,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MG,29.626126889863976,29.88539450253928,33.0718318134526,34.53051202134738,34.687319757907495,38.25640148309664,40.8146691732822,41.30352152258513,42.34547554706471,44.41477574697829,46.79299421684735,50.4696070604303,56.06183520456326,61.5079651644746,69.61308571723069,69.74439949980062,70.61562991198153,92.76508337431831,112.38315090841607
MS,33.228389836660625,32.92680148204113,35.70346816232538,36.82991414095079,36.08472020330375,40.15668386700691,44.182176712928744,46.207959842628206,47.25582406993224,48.45477661428734,51.035667504424815,56.944191777429445,64.67176124677371,66.66647778297572,73.43444249039759,71.34871895759984,71.978029568442,89.87319228707096,110.76619401002498
MT,38.04823246957646,38.22664664614646,39.79744259836741,40.50748692962595,40.1607869130263,43.81227032897203,46.536737541904586,47.3266958594934,48.76394391261399,50.837477267979466,53.204841620044874,63.736700471053354,72.797588978186,81.68559964360182,95.80077994828176,95.80351308769752,95.36335707142587,111.16112155467651,129.7580615889949
PA,30.755225719017883,30.04894663364163,31.13893925293435,33.181049344912374,33.72651362369144,36.00884701705374,39.48800320792366,40.7971613371607,41.70618604832798,42.43948792862315,43.95873021977947,51.765019118963686,58.52289839281937,62.43900410253454,73.20613854909053,76.6281917377886,77.7644538916719,97.38286816605783,117.1861409061207
PB,34.40750491051942,32.90399952558536,33.732314392408696,33.31479173767456,33.09735769546576,33.65770521386314,34.034426079150734,33.897917587792406,34.50393278800822,36.324885176022335,39.36875390269513,44.69899544455544,51.74097476470273,54.999871507331875,65.99415546536645,68.20057132862141,70.08369543044675,92.3602804369414,112.21852177805903
PE,31.046212895245688,29.4525403748032,31.55886620959151,30.482999737258325,31.72834698698979,34.601825025543896,35.69093723708961,34.50867999554623,35.02823862457566,38.349849252542626,41.49429650301164,46.00389553778419,46.96911876743097,50.97986344071971,63.78821894287866,65.49432466121449,65.5428379015363,84.0442263979718,100.83582070452837
PI,33.8498130376801,33.92413072285784,35.4389478393051,36.83288097368646,36.278071535145884,35.961031574448434,36.91560178140522,38.43446695664527,40.647890997732425,41.1482778276008,42.73724059094693,47.839103441392176,54.65253365640207,57.88920233275496,66.49745186063936,67.48824306999308,73.4031184818264,94.64299369090237,116.65644018212464
PR,31.271334281963767,30.74260830402047,32.622291811486804,32.564610873904925,32.31722446443015,35.7975148981497,38.83467258048126,39.050465071254834,39.85377138230584,40.50896391392467,42.39456628791222,50.296822798453306,58.02197595945463,60.26537375572833,69.19782869882155,70.08289333510703,72.05490747893361,94.00975715366837,111.10949734760598
RJ,28.91643046205872,29.27333489741641,31.152747053695144,32.11738276063127,31.935579185846688,34.158681730572745,38.069131524594866,37.79117727948025,38.09097593973861,39.38090803914122,42.49844366368044,46.66825690325312,50.981023534765214,55.81882952702228,63.27607930151922,64.56048529688954,64.11787712924429,81.75459837702522,99.5179705980319
RN,30.258002360143085,29.594551704414382,31.35132912517781,31.87923876033632,32.374516828128286,34.62885830445215,38.12231443169672,38.57074176401312,38.99941334519127,40.97507805303939,44.835711597391374,50.2183706259002,55.303349292770164,57.37723052168661,65.68102108324757,68.4051599848175,70.73686570580284,95.75914024208654,115.50993260352213
RO,32.66715523893547,33.75758444751726,34.32287750807677,36.350999852607984,35.9411551240935,37.30482431912776,39.37640399535424,39.74438109671755,39.861706749010736,43.61171540644233,47.49204832193644,52.725097580015614,58.30524791473587,64.43394787947742,76.92931270142768,78.42326248313091,82.79588247754413,105.34007778796075,129.1017671633756
RR,33.13228702031301,34.405647205356885,35.89881962686064,36.9840453487889,37.88338970299403,38.77573349567967,40.54982433968801,42.8930969551282,44.83286474518832,46.95994877197128,49.62434011814391,54.485183749190206,58.74759615384615,68.67628205128204,80.73454445145018,83.91270477207976,86.56395566239316,105.48606578943843,121.47117309709299
RS,30.879731219224652,31.883801121603987,33.69543148592257,34.19641156186561,34.720296727696365,36.456750906425555,38.1573193826955,38.93806835022799,39.95780797652923,41.803666417611126,42.60849970336239,46.70093253341432,55.098417141913195,60.22462113708524,68.75406807989154,70.37469308325255,70.6163694848014,89.0312435855022,109.84182082550677
SC,31.06902033042394,32.112456196989584,35.02815119734481,35.43400635327359,36.50323504082573,38.7005575390892,41.213606131763115,41.52245074273375,42.632578263102616,43.359382188793134,44.44336994323488,48.01125958652872,54.015106570662084,58.451291183881345,69.3775943733925,70.9125239375158,73.22705364962898,98.50163155469505,119.14902410399186
SE,32.18836314988913,31.423903977580537,32.60802705707932,33.02925306901463,32.60178632368978,33.69652322254018,35.03917442318077,35.104204107830554,36.52326978299746,38.285498223816916,40.73124166152915,45.56854556713047,54.0,64.2452339085427,74.11783854673075,69.19378698224853,69.76124157994323,85.70519295995234,103.54047978963865
SP,28.904288332192948,28.71753895849075,30.635513769447662,31.550249224377,31.785850997302607,34.91602891890325,37.73104414797979,37.93028994044396,38.883319539876595,40.63491148454406,41.87100741494359,46.104798098045976,51.815555890891076,56.15945533842016,65.78235622890728,67.35192625162901,69.13878717484621,90.08229991257801,108.28441022008542
TO,32.98907687771178,33.015415101277355,34.99122821837017,36.43107026498323,36.530494445287715,40.12700407834901,44.33436957738082,44.52480876502671,44.51093151314496,45.253043957411265,47.75528552111135,58.19527668142189,67.66893767060964,73.27963058748222,84.05572869667483,78.31689986882378,80.38946435468517,101.15065081938091,121.60044277364646
